text,label
"Great job on the book, everything works flawlessly.",positive
The service broke after just one day of use.,negative
I'm annoyed that the service stopped working so quickly.,negative
The report on the meal will be released tomorrow.,neutral
They discussed the meal during the conference call.,neutral
I appreciate how easy the software update is to use.,positive
The team is currently being reviewed by the team.,neutral
The team weighs approximately two kilograms.,neutral
I used the website for about an hour today.,neutral
I'm thrilled with how well the movie performs.,positive
This meal is a complete waste of money.,negative
I can't stop smiling because of this software.,positive
This camera is the worst I have ever purchased.,negative
The restaurant is priced at fifty dollars.,neutral
Such a wonderful experience with this app.,positive
The meeting about the book is at 3 PM.,neutral
The hotel arrived on Tuesday as scheduled.,neutral
The report on the phone will be released tomorrow.,neutral
This gadget made everything so much more difficult.,negative
"This gadget is exactly what I needed, perfect!",positive
"What a fantastic headphones, truly impressive quality.",positive
The document contains twelve pages in total.,neutral
"This software is exactly what I needed, perfect!",positive
I had a great time using this experience today.,positive
I really hate how this meal turned out.,negative
"This app is a game changer, thank you so much!",positive
I read the instructions for the device yesterday.,neutral
"Avoid this tool, it constantly malfunctions.",negative
I'm thrilled with how well the presentation performs.,positive
The camera is compatible with most devices.,neutral
I really hate how this hotel turned out.,negative
Everything about this phone feels premium and well made.,positive
The device works great and looks even better.,positive
The phone broke after just one day of use.,negative
I'm frustrated because the movie keeps failing.,negative
This flight arrived damaged and unusable.,negative
I love spending time with my family on weekends.,positive
The customer support for this experience was awful.,negative
"I absolutely love this vacation, it's amazing!",positive
I can't stop smiling because of this camera.,positive
The store has the app in stock again.,neutral
The laptop has a standard one year warranty.,neutral
"The experience was a huge letdown, poor quality overall.",negative
I have not decided yet whether I like the vacation.,neutral
The laptop is overpriced and underdelivers badly.,negative
This has been the worst week of my life.,negative
The hotel comes in three different colors.,neutral
The restaurant was delivered in a plain box.,neutral
"Best movie I have ever used, highly recommend it.",positive
The headphones has a standard one year warranty.,neutral
I read the instructions for the experience yesterday.,neutral
The app is priced at fifty dollars.,neutral
This is the best flight on the market right now.,positive
Really impressed by the quality of this meal.,positive
"I'm so disappointed with the hotel, it barely works.",negative
This is the best software update on the market right now.,positive
"I regret buying this book, total disappointment.",negative
The flight left me feeling angry and cheated.,negative
This team made everything so much more difficult.,negative
The vacation broke after just one day of use.,negative
Nothing about this team works the way it should.,negative
The camera requires two batteries to operate.,neutral
There is a new update available for the vacation.,neutral
I am still testing out the vacation this week.,neutral
The restaurant left me feeling angry and cheated.,negative
The customer service for this book was outstanding.,positive
The flight broke after just one day of use.,negative
This app is a complete waste of money.,negative
"This delivery is exactly what I needed, perfect!",positive
I can't stop smiling because of this tool.,positive
I appreciate how easy the tool is to use.,positive
I'm annoyed that the phone stopped working so quickly.,negative
This hotel made everything so much more difficult.,negative
The experience broke after just one day of use.,negative
"This tool is a game changer, thank you so much!",positive
I have not decided yet whether I like the presentation.,neutral
"I'm so happy with this meal, it works perfectly.",positive
"Terrible experience with this device, would not recommend.",negative
The conference will be held in the main hall.,neutral
The movie is currently being reviewed by the team.,neutral
The package requires two batteries to operate.,neutral
I can't believe how poorly the gadget performs.,negative
The meeting about the subscription is at 3 PM.,neutral
This delivery is the worst I have ever purchased.,negative
This software arrived damaged and unusable.,negative
They discussed the course during the conference call.,neutral
Everything about this restaurant feels premium and well made.,positive
The course is currently being reviewed by the team.,neutral
The software was delivered in a plain box.,neutral
I'm annoyed that the delivery stopped working so quickly.,negative
The customer service for this gadget was outstanding.,positive
"The package was a huge letdown, poor quality overall.",negative
There is a new update available for the product.,neutral
"This team is a game changer, thank you so much!",positive
It took some time to set up the car.,neutral
I'm annoyed that the team stopped working so quickly.,negative
"Terrible experience with this product, would not recommend.",negative
The tool has a standard one year warranty.,neutral
The website arrived on Tuesday as scheduled.,neutral
"Best hotel I have ever used, highly recommend it.",positive
I'm annoyed that the vacation stopped working so quickly.,negative
"I'm so happy with this package, it works perfectly.",positive
The delivery is priced at fifty dollars.,neutral
I'm frustrated because the product keeps failing.,negative
I'm annoyed that the product stopped working so quickly.,negative
Really impressed by the quality of this software.,positive
"Great job on the course, everything works flawlessly.",positive
The tool made my day so much better.,positive
Such a wonderful experience with this car.,positive
This car is a complete waste of money.,negative
"Such a bad experience, the website is unreliable.",negative
This flight is the worst I have ever purchased.,negative
I am still testing out the tool this week.,neutral
The tool left me feeling angry and cheated.,negative
I appreciate how easy the laptop is to use.,positive
Such a wonderful experience with this software update.,positive
The car arrived on Tuesday as scheduled.,neutral
The game left me feeling angry and cheated.,negative
"I absolutely love this tool, it's amazing!",positive
The product weighs approximately two kilograms.,neutral
The customer service for this software update was outstanding.,positive
"Such a bad experience, the hotel is unreliable.",negative
"Avoid this watch, it constantly malfunctions.",negative
The store has the car in stock again.,neutral
"Terrible experience with this meal, would not recommend.",negative
The service is compatible with most devices.,neutral
The website broke after just one day of use.,negative
This laptop is a complete waste of money.,negative
I appreciate how easy the meal is to use.,positive
The team broke after just one day of use.,negative
"This vacation is a game changer, thank you so much!",positive
Everything about today has been stressful and unpleasant.,negative
"The device was a huge letdown, poor quality overall.",negative
I'm thrilled with how well the team performs.,positive
"Absolutely awful quality, this laptop fell apart fast.",negative
Really impressed by the quality of this game.,positive
This subscription is a complete waste of money.,negative
The app broke after just one day of use.,negative
This is the best product on the market right now.,positive
The game is currently being reviewed by the team.,neutral
I used the laptop for about an hour today.,neutral
I had a great time using this headphones today.,positive
The delivery arrived on Tuesday as scheduled.,neutral
"I'm so happy with this subscription, it works perfectly.",positive
This is the best presentation on the market right now.,positive
The subscription left me feeling angry and cheated.,negative
Really impressed by the quality of this device.,positive
I appreciate how easy the book is to use.,positive
The team left me feeling angry and cheated.,negative
The store has the laptop in stock again.,neutral
I'm annoyed that the game stopped working so quickly.,negative
I appreciate how easy the restaurant is to use.,positive
This software is the worst I have ever purchased.,negative
I read the instructions for the service yesterday.,neutral
The device comes in three different colors.,neutral
This website arrived damaged and unusable.,negative
This game arrived damaged and unusable.,negative
Nothing about this laptop works the way it should.,negative
"The hotel was a huge letdown, poor quality overall.",negative
"Absolutely awful quality, this camera fell apart fast.",negative
I had a great time using this laptop today.,positive
I am still testing out the watch this week.,neutral
"What a fantastic product, truly impressive quality.",positive
"Absolutely delighted with the game, five stars.",positive
"I regret buying this movie, total disappointment.",negative
This package exceeded all my expectations.,positive
